"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jun 20 15:30:35 GMT+04:00 2023","Tue Jun 20 15:30:39 GMT+04:00 2023","3634","","tests.TransitionInConstructorTest","","tests.TransitionInConstructorTest","transitionToConstructorFromProfilePageTest[driver: yandexdriver]","Go to the designer from your personal cabinet","Checking the switch to the 'РљРѕРЅСЃС‚СЂСѓРєС‚РѕСЂ' tab from the user authorization page."
"broken","Tue Jun 20 15:30:09 GMT+04:00 2023","Tue Jun 20 15:30:10 GMT+04:00 2023","309","","tests.RegistrationTest","","tests.RegistrationTest","successRegistrationTest[driver: yandexdriver]","Successful user registration","Check if the user is successfully registered and if the 'Login' text is visible on the login page"
"broken","Tue Jun 20 15:31:29 GMT+04:00 2023","Tue Jun 20 15:31:33 GMT+04:00 2023","3600","","tests.TransitionInProfilePageTest","","tests.TransitionInProfilePageTest","transitionToStellarBurgersFromProfilePageTest[driver: yandexdriver]","Click on the 'Stellar Burgers' logo","Check the transition to the home page by clicking on the logo from the login page, and the visibility of the text on the 'Assemble Burger' home page."
"broken","Tue Jun 20 15:30:00 GMT+04:00 2023","Tue Jun 20 15:30:00 GMT+04:00 2023","310","","tests.LoginTest","","tests.LoginTest","authorizationByRegisterFormTest[driver: yandexdriver]","Authorization through the registration form","Checking login through the registration form and visibility of the 'Assemble Burger' text element on the home page"
"broken","Tue Jun 20 15:30:30 GMT+04:00 2023","Tue Jun 20 15:30:31 GMT+04:00 2023","360","","tests.TransitionInConstructorTest","","tests.TransitionInConstructorTest","transitionToSaucesInConstructorTest[driver: yandexdriver]","Go to the 'РЎРѕСѓСЃС‹' tab","Checking the switch to the 'РЎРѕСѓСЃС‹' tab and the visibility of the 'СЃРѕСѓСЃРѕРј' picture."
"broken","Tue Jun 20 15:29:32 GMT+04:00 2023","Tue Jun 20 15:29:32 GMT+04:00 2023","424","","tests.LoginTest","","tests.LoginTest","authorizationByRecoverPasswordTest[driver: chromedriver]","Authorization through password recovery form","Check login via password recovery form and visibility of 'Assemble Burger' text element on homepage"
"broken","Tue Jun 20 15:30:13 GMT+04:00 2023","Tue Jun 20 15:30:13 GMT+04:00 2023","295","","tests.RegistrationTest","","tests.RegistrationTest","failedRegistrationTest[driver: yandexdriver]","Unsuccessful user registration.","Check for unsuccessful user registration and catch the text error 'Incorrect password' on the registration page when entering a password of less than 6 characters"
"broken","Tue Jun 20 15:30:54 GMT+04:00 2023","Tue Jun 20 15:30:57 GMT+04:00 2023","3448","","tests.TransitionInProfilePageTest","","tests.TransitionInProfilePageTest","exitFromProfileTest[driver: chromedriver]","'Р’С‹С…РѕРґ' from my personal account","Check the 'Р’С‹С…РѕРґ' button in the personal cabinet and the visibility of the 'Р’С…РѕРґ' header text on the authorization page."
"broken","Tue Jun 20 15:31:06 GMT+04:00 2023","Tue Jun 20 15:31:10 GMT+04:00 2023","3454","","tests.TransitionInProfilePageTest","","tests.TransitionInProfilePageTest","transitionToProfilePageTest[driver: chromedriver]","Go to login page","Checking the login page transition and visibility of the 'Р’С…РѕРґ' header on it"
"broken","Tue Jun 20 15:29:55 GMT+04:00 2023","Tue Jun 20 15:29:56 GMT+04:00 2023","314","","tests.LoginTest","","tests.LoginTest","authorizationByLoginButtonTest[driver: yandexdriver]","Authorize via the 'Login to Account' button","Check the 'Login to Account' button and the visibility of the 'Assemble Burger' text element on the home page"
